"","Group.1","Group.2","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyBodyAccJerkMag-mean()","fBodyBodyGyroMag-mean()","fBodyBodyGyroJerkMag-mean()"
"1","WALKING",1,0.270930665212121,-0.020230817160101,-0.104761765040404,0.693974683939394,0.00777971425858586,0.085685154,0.0755731645515152,-4.49481431313131e-05,-0.0111759712520202,-0.0488477878281818,-0.0763696122087879,0.108056515487879,-0.0965992429525253,-0.0430943244212121,-0.0681293543868687,-0.538895282784848,-0.538895282784848,-0.636279329787879,-0.610458862592929,-0.759661603838384,-0.612509920121212,-0.525354104728687,-0.664490722030303,-0.21793457943899,0.0392482176777778,0.0415553850194949,-0.634989809070707,-0.620258905515152,-0.740571647909091,-0.0477625828605051,-0.21053149910101,-0.124059742747778,-0.673496451707071,-0.714124456950505,-0.632541588181818,-0.0708246777050505,-0.166268757553535,-0.0519770305313131,-0.56844613849495,-0.605439045888889,-0.708172451848485,-0.77293493
"2","WALKING_UPSTAIRS",2,0.275387623838384,-0.0199912228207071,-0.111350074778788,0.679623818888889,0.00262155885959596,0.0954268729444444,0.0877627140787879,-0.0121832979436364,0.0258475896764646,-0.0644865999616162,-0.0674994689626263,0.0987319913333333,-0.100967030728283,-0.0350660366868687,-0.0777560367947475,-0.550842628767677,-0.550842628767677,-0.642825699929293,-0.611217407261616,-0.763180200505051,-0.613383485121212,-0.536661309080808,-0.66558250777404,-0.212615308808081,0.0291974211383838,0.0540417370650606,-0.642783478727273,-0.632060531313131,-0.741306938686869,-0.0636358813393939,-0.231883097718182,-0.126509639647475,-0.666276456625252,-0.715779978171717,-0.630652279192929,-0.0794328514979798,-0.149597461624242,-0.063374319259596,-0.578979030494949,-0.609817007056566,-0.706729604070707,-0.779877927606061
"3","WALKING_DOWNSTAIRS",3,0.275758627676768,-0.0148711873931313,-0.106847865985859,0.680920474242424,0.00577632280505051,0.0948462882121212,0.0837825920035354,-0.00134459550757576,0.000533462358989899,-0.0644076037181818,-0.060737580479798,0.0847425469242424,-0.0966376360757576,-0.0237768548858586,-0.0496204883969697,-0.557170840852525,-0.557170840852525,-0.64998767140404,-0.612933395515151,-0.763873832424242,-0.622085957232323,-0.556997765213535,-0.668487280075758,-0.218871609235354,0.0214264154727273,0.0445429816393939,-0.64917036959596,-0.648596378080808,-0.739165046,-0.0708033518292929,-0.209433962538384,-0.13001686439899,-0.670197240369697,-0.715239292222222,-0.647038523313131,-0.0695797140262626,-0.13347353643505,-0.0569891653363636,-0.588609091363636,-0.612393067343434,-0.701348791686869,-0.778721305555556
"4","SITTING",4,0.27694114959596,-0.0168133803151515,-0.109323995868687,0.669669161616162,0.0154533598565657,0.102526111759697,0.0931881732222222,0.000677927492929293,-0.00621182844515152,-0.0573032003737374,-0.0653580202121212,0.0985256876262626,-0.0953593452313131,-0.0512229845727273,-0.0221516241373737,-0.562459153719192,-0.562459153719192,-0.651312651476364,-0.611543200366667,-0.767820368181818,-0.608487218909091,-0.557200576747475,-0.672644411767677,-0.211573250625182,0.031965396379798,0.0686437264343434,-0.644000115131313,-0.639416767727273,-0.745308273787879,-0.0608981154707071,-0.182826063817172,-0.108291765867677,-0.676315530747475,-0.71661305652798,-0.635466152707071,-0.0897364308393939,-0.143168945479798,-0.0547479445525253,-0.584324085129293,-0.610827148909091,-0.702061932111111,-0.778225998151515
"5","STANDING",5,0.280382289191919,-0.0196057029629293,-0.112729742959596,0.698931055757576,-0.00336314833333334,0.0989568267525252,0.076496182045101,-0.0276963205228283,0.00207376604676768,-0.0425632240878788,-0.0773811543818182,0.103732336156566,-0.0850193915353535,-0.0588984270767677,-0.0564326396545455,-0.544421741324242,-0.544421741324242,-0.631952920166667,-0.619174594,-0.759190524686869,-0.598226971020202,-0.540425189090909,-0.663824035747475,-0.20966976809899,0.0188072575313131,0.0535776373387879,-0.625275127832323,-0.620338424022222,-0.737044678282828,-0.0375978997676768,-0.216306163604848,-0.109129976934343,-0.679727022580808,-0.708358384858586,-0.632530236358586,-0.0818848165757576,-0.11109300610101,-0.05716435035,-0.561277584929293,-0.587446535464646,-0.711966690707071,-0.768424004373737
"6","LAYING",6,0.280283194646465,-0.0185581384080808,-0.10920084219596,0.696198144040404,-0.00687749153737374,0.0940911510191919,0.0584428541010101,0.0142962046878687,-0.000579352747373738,-0.0411256551131313,-0.0602485578887879,0.0933105230070707,-0.0979136124808081,-0.040810784289899,-0.0659947968484848,-0.551481227014141,-0.551481227014141,-0.633463677978788,-0.614708492828283,-0.760537006464647,-0.611083232141414,-0.538408227970707,-0.658315785017172,-0.210895365048485,0.0235090490010101,0.0871012510470707,-0.63247143169697,-0.617729361865253,-0.725020866474748,-0.0333811128585859,-0.206528306802828,-0.10568513109899,-0.666699121059596,-0.710483925,-0.624816687726263,-0.0589721803811111,-0.124732480243434,-0.0416505809919192,-0.566169438464647,-0.590725569565657,-0.711399986010101,-0.769662781272727
"7","WALKING",7,0.255436287171717,-0.0158216569939394,-0.102867539333333,0.669042055050505,0.0018836244020202,0.107218233818182,0.0885178185414141,0.0296818838949495,0.000650445975757576,-0.0378280904929293,-0.0699022566867677,0.0896713607984849,-0.0974159524848485,-0.0451854176666667,-0.058548669159596,-0.538275179522687,-0.538275179522687,-0.634987759643434,-0.598478337365657,-0.759040024474747,-0.606780432749495,-0.523379100414141,-0.660095593721212,-0.199572170552525,0.0414869405919192,0.0748262131333333,-0.643744266645455,-0.610976190050505,-0.734966618771717,-0.0544251241818182,-0.204201168919192,-0.115685703286869,-0.668881140939394,-0.715769737292929,-0.621555132033333,-0.0951108418171717,-0.173751537279798,-0.0654864038787879,-0.560823786410101,-0.603416895232323,-0.702212682919192,-0.777536356888889
"8","WALKING_UPSTAIRS",8,0.28061365377551,-0.0117326764544898,-0.112857936030612,0.687735012755102,-0.0186782021468776,0.105340354754082,0.0749193468469388,-0.0085094270794898,0.00179517516959184,-0.0552218622109184,-0.0655215575959184,0.106552352235714,-0.11964870617551,-0.025933069122449,-0.0713763745836735,-0.551623117040816,-0.551623117040816,-0.637290105540816,-0.590925173591837,-0.759240656244898,-0.624887194086735,-0.512741165859184,-0.672645419540816,-0.227942178255102,0.00222514306428571,0.0501484363635714,-0.644553019877551,-0.602277686903775,-0.746965050061224,-0.0803062932418367,-0.206799897387755,-0.133140787861224,-0.651678738438776,-0.71301119722449,-0.613247427239796,-0.0791338620408163,-0.190126749746939,-0.0571854572010204,-0.587388770142857,-0.607125301544898,-0.696518487918367,-0.78102802627551
"9","WALKING_DOWNSTAIRS",9,0.278204041714286,-0.0226911079067143,-0.110401785091837,0.67937171244898,-0.00825815139061224,0.112918427054082,0.0625541265632653,0.0195467108320408,-0.00385747139061224,-0.0265709311667347,-0.0780538981622449,0.0992343097883674,-0.0733487258989796,-0.0294582355204082,-0.0556199236520408,-0.558147411609184,-0.558147411609184,-0.63777153494898,-0.601189296354388,-0.757363231397959,-0.62616384535102,-0.520007095346939,-0.672984334744898,-0.219774786556122,0.0363277065342857,0.0567376550539082,-0.649924316602041,-0.605596708,-0.745307969704082,-0.0726616145459184,-0.233913862504082,-0.117415915116327,-0.656060169306122,-0.713359619255102,-0.624935906959184,-0.0816625083561224,-0.186680796335714,-0.0610613037142857,-0.585806284785714,-0.60848334877551,-0.698612974887755,-0.771705183193878
"10","SITTING",10,0.270344205204082,-0.0261943660097959,-0.110702585328571,0.676526184795918,-0.0158794067354082,0.0926565280091837,0.0823583875918367,0.0335130544613265,-0.0075053647722449,-0.00984490903204082,-0.0660965110316327,0.0830673877663265,-0.0755461999595918,-0.0573413104112245,-0.0567257957602041,-0.540655378592857,-0.540655378592857,-0.634692069497959,-0.598983381265306,-0.759641055408163,-0.617143321041837,-0.505177023241837,-0.665251881826531,-0.241659930121429,0.0321152561938775,0.0489809700489796,-0.650314674284694,-0.602208834734694,-0.742609842704082,-0.0801811045510204,-0.249817487040816,-0.151908065252041,-0.64154539427551,-0.715820531011224,-0.627209011269388,-0.115287594202041,-0.194103459693878,-0.0774901858591837,-0.575684383183673,-0.606347484918367,-0.697716855030612,-0.775355073010204
